"List,Category,Course_Code,Course_Name,Units,Subject_Code,Course_Type"
"EXCLUSION,Ineligible,PHIL252,Quantum Mechanics for Everyone,0.50,PHIL,Excluded"
"EXCLUSION,Ineligible,PSCI314,Quantitative Analysis,0.50,PSCI,Excluded"
"EXCLUSION,Ineligible,PSYCH207,Cognitive Processes,0.50,PSYCH,Excluded"
"EXCLUSION,Ineligible,PSYCH261,Physiological Psychology,0.50,PSYCH,Excluded"
"EXCLUSION,Ineligible,PSYCH292,Basic Data Analysis,0.50,PSYCH,Excluded"
"EXCLUSION,Ineligible,PSYCH306,Perception,0.50,PSYCH,Excluded"
"EXCLUSION,Ineligible,PSYCH307,Human Neuropsychology,0.50,PSYCH,Excluded"
"EXCLUSION,Ineligible,PSYCH335,Developmental Neuropsychology,0.50,PSYCH,Excluded"
"EXCLUSION,Ineligible,PSYCH391,Advanced Data Analysis,0.50,PSYCH,Excluded"
"EXCLUSION,Ineligible,PSYCH486,Directed Studies - Advanced Statistics,0.50,PSYCH,Excluded"
"EXCLUSION,Ineligible,PSYCH493,Data Analysis and Graphing in R,0.50,PSYCH,Excluded"
"EXCLUSION,Ineligible,REC371,Quantitative Data Analysis and Mobilization,0.50,REC,Excluded"
"EXCLUSION,Ineligible,SDS150R,Lifespan Processes,0.50,SDS,Excluded"
"EXCLUSION,Ineligible,SDS250R,Social Statistics,0.50,SDS,Excluded"
"EXCLUSION,Ineligible,SDS251R,Social Research,0.50,SDS,Excluded"
"EXCLUSION,Ineligible,SDS375R,Studies in Interdisciplinary Social Science,0.50,SDS,Excluded"
"EXCLUSION,Ineligible,SOC280,Social Statistics,0.50,SOC,Excluded"
"EXCLUSION,Ineligible,SRF230,Introduction to Statistics,0.50,SRF,Excluded"
